Feedback,Sentiment,Category
"Overall, the WiFi experiance has been great this semester.",Positive,WiFi
The Transport team is supportive and responsive.,Positive,Transport
The Library service is excelent and really helps students.,Positive,Library
The Lab experiance is neither good nor bad. The management should take note.,Neutral,Lab
The Library department is satisfactory.,Neutral,Library
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
The Placement facilities are average.,Neutral,Placement
The Placement facilities are well maintained and useful.,Positive,Placement
The Lab facilities are average.,Neutral,Lab
The Hostel department is satisfactory.,Neutral,Hostel
The Sports system is slow and causes inconvenience. Please look into this issue soon.,Negative,Sports
The Library facilities are well maintained and useful. It saves a lot of time.,Positive,Library
The Hostel experiance has been poor recently.,Negative,Hostel
The Classroom team is supportive and responsive. It saves a lot of time.,Positive,Classroom
The Lab department is satisfactory.,Neutral,Lab
I have mixed opinions about the WiFi facilities.,Neutral,WiFi
The Hostel service is excellent and really helps students.,Positive,Hostel
The Lab team is supportive and responsive.,Positive,Lab
There are frequent issues related to Hostel.,Negative,Hostel
I am disappointed with the quality of the Hostel service.,Negative,Hostel
I am disappointed with the quality of the Library service.,Negative,Library
I am very satisfied with the Hostel facilities provided by the college.,Positive,Hostel
The Placement experience has been poor recently. It saves a lot of time.,Negative,Placement
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
"Overall, the Library experience has been great this semester.",Positive,Library
I am very satisfied with the Canteen facilities provided by the college.,Positive,Canteen
I am disappointed with the quality of the Sports service.,Negative,Sports
The Sports facilities are average.,Neutral,Sports
There are frequent issues related to Transport.,Negative,Transport
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
The Lab experience has been poor recently. I would recommend maintaining this standard.,Negative,Lab
The Transport team is supportive and responsive.,Positive,Transport
The Library experience is neither good nor bad. This has affected many students.,Neutral,Library
There are frequent issues related to Sports. It saves a lot of time.,Negative,Sports
There are frequent issues related to Hostel. Please look into this issue soon.,Negative,Hostel
I have mixed opinions about the WiFi facilities.,Neutral,WiFi
I am very satisfied with the Transport facilities provided by the college.,Positive,Transport
The Placement department is satisfactory.,Neutral,Placement
The Canteen facilities are average.,Neutral,Canteen
The WiFi team is supportive and responsive.,Positive,WiFi
I am disappointed with the quality of the Transport service.,Negative,Transport
"Overall, the Library experience has been great this semester.",Positive,Library
The Transport system is slow and causes inconvenience.,Negative,Transport
The Canteen system is slow and causes inconvenience. The management should take note.,Negative,Canteen
I have mixed opinions about the Hostel facilities.,Neutral,Hostel
I am very satisfied with the Library facilities provided by the college.,Positive,Library
The Hostel department is satisfactory.,Neutral,Hostel
The WiFi facilties are average.,Neutral,WiFi
The Classroom service is okay but could be improved.,Neutral,Classroom
"Overall, the WiFi experience has been great this semester.",Positive,WiFi
The Lab servise is okay but could be improved. Please look into this issue soon.,Neutral,Lab
I am disappointed with the quality of the Sports service.,Negative,Sports
I have mixed opinions about the Hostel facilties. The management should take note.,Neutral,Hostel
The Faculty facilities are average.,Neutral,Faculty
I am very satisfied with the Classroom facilities provided by the college. Please look into this issue soon.,Positive,Classroom
I have mixed opinions about the Library facilities. It saves a lot of time.,Neutral,Library
I have mixed opinions about the Faculty facilities.,Neutral,Faculty
The Transport experience has been poor recently. Please look into this issue soon.,Negative,Transport
I am disappointed with the quality of the Faculty service.,Negative,Faculty
I am very satisfied with the Placement facilities provided by the college.,Positive,Placement
The Transport team is supportive and responsive.,Positive,Transport
The Hostel facilities are well maintained and useful. Please look into this issue soon.,Positive,Hostel
The Lab experience is neither good nor bad.,Neutral,Lab
The Lab system is slow and causes inconvenience.,Negative,Lab
The Transport team is supportive and responsive.,Positive,Transport
The Hostel service is okay but could be improved.,Neutral,Hostel
The Canteen servise is okay but could be improved.,Neutral,Canteen
There are frequent issues related to Lab. Please look into this issue soon.,Negative,Lab
I have mixed opinions about the Library facilities.,Neutral,Library
I have mixed opinions about the Placement facilities. Please look into this issue soon.,Neutral,Placement
The Library facilities are average.,Neutral,Library
"Overall, the Library experience has been great this semester.",Positive,Library
The Classroom team is supportive and responsive. This has affected many studnts.,Positive,Classroom
There are frequent issues related to Transport.,Negative,Transport
I have mixed opinions about the Transport facilties.,Neutral,Transport
The Library service is excellent and really helps students. I would recommend maintaining this standard.,Positive,Library
I am disappointed with the quality of the Placement service.,Negative,Placement
I am disappointed with the quality of the Canteen service.,Negative,Canteen
I have mixed opinions about the Hostel facilities. I would recommend maintaining this standard.,Neutral,Hostel
The Placement facilities need significant improvement. I would recommend maintaining this standard.,Negative,Placement
The Canteen facilties are well maintained and useful.,Positive,Canteen
The Lab facilities need significant improvement. The management should take note.,Negative,Lab
The Canteen service is okay but could be improved. Please look into this issue soon.,Neutral,Canteen
The Placement facilities need significant improvement. This has affected many students.,Negative,Placement
The Transport team is supportive and responsive.,Positive,Transport
The Canteen facilties need significant improvement.,Negative,Canteen
The Faculty department is satisfactory.,Neutral,Faculty
"Overall, the Hostel experience has been great this semester. It saves a lot of time.",Positive,Hostel
The Transport experience has been poor recently. Please look into this issue soon.,Negative,Transport
I am very satisfied with the WiFi facilities provided by the college.,Positive,WiFi
The Faculty service is excellent and really helps students. This has affected many students.,Positive,Faculty
"Overall, the Faculty experience has been great this semester.",Positive,Faculty
The Canteen servise is okay but could be improved.,Neutral,Canteen
The Placement team is supportive and responsive.,Positive,Placement
I have mixed opinions about the WiFi facilities. This has affected many students.,Neutral,WiFi
The Placement team is supportive and responsive.,Positive,Placement
The Transport servise is okay but could be improved. I would recommend maintaining this standard.,Neutral,Transport
"Overall, the Lab experience has been great this semester.",Positive,Lab
I am disappointed with the quality of the Canteen service. The management should take note.,Negative,Canteen
The Placement department is satisfactory.,Neutral,Placement
The Hostel team is supportive and responsive.,Positive,Hostel
The Faculty department is satisfactory.,Neutral,Faculty
The Transport facilities are well maintained and useful.,Positive,Transport
The Faculty department is satisfactory.,Neutral,Faculty
The Library service is excellent and really helps students. This has affected many students.,Positive,Library
The Classroom experience has been poor recently. I would recommend maintaining this standard.,Negative,Classroom
The Library system is slow and causes inconvenience. I would recommend maintaining this standard.,Negative,Library
The Transport facilties are average.,Neutral,Transport
The Hostel facilities need significant improvement.,Negative,Hostel
"Overall, the Library experience has been great this semester.",Positive,Library
I have mixed opinions about the Hostel facilities.,Neutral,Hostel
The Library facilities are well maintained and useful. This has affected many students.,Positive,Library
The Canteen department is satisfactory. It saves a lot of time.,Neutral,Canteen
The Canteen facilities are average.,Neutral,Canteen
The Canteen department is satisfactory. It saves a lot of time.,Neutral,Canteen
The Lab service is okay but could be improved. I would recommend maintaining this standard.,Neutral,Lab
There are frequent issues related to Faculty. The management should take note.,Negative,Faculty
There are frequent issues related to Hostel. Please look into this issue soon.,Negative,Hostel
The Lab facilties are well maintained and useful. This has affected many students.,Positive,Lab
The Transport facilities need significant improvement.,Negative,Transport
The Hostel facilities need significant improvement. It saves a lot of time.,Negative,Hostel
I am disappointed with the quality of the Classroom service.,Negative,Classroom
The Lab facilities need significant improvement. This has affected many students.,Negative,Lab
The Lab service is excellent and really helps students.,Positive,Lab
"Overall, the WiFi experience has been great this semester.",Positive,WiFi
There are frequent issues related to Lab.,Negative,Lab
The Canteen service is excellent and really helps students.,Positive,Canteen
The Placement team is supportive and responsive.,Positive,Placement
The WiFi facilities need significant improvement.,Negative,WiFi
The Transport servise is okay but could be improved.,Neutral,Transport
The Classroom experience has been poor recently.,Negative,Classroom
The Canteen facilities need significant improvement.,Negative,Canteen
There are frequent issues related to Placement. This has affected many students.,Negative,Placement
I am disappointed with the quality of the Canteen service. The management should take note.,Negative,Canteen
I am very satisfied with the Lab facilities provided by the college. The management should take note.,Positive,Lab
The Hostel service is okay but could be improved.,Neutral,Hostel
I am disappointed with the quality of the Hostel service.,Negative,Hostel
The Placement experience has been poor recently. Please look into this issue soon.,Negative,Placement
The Sports service is excellent and really helps students.,Positive,Sports
The Classroom department is satisfactory. This has affected many students.,Neutral,Classroom
The Faculty system is slow and causes inconvenience.,Negative,Faculty
The Transport service is okay but could be improved. Please look into this issue soon.,Neutral,Transport
The Hostel system is slow and causes inconvenience.,Negative,Hostel
The Faculty service is excellent and really helps students.,Positive,Faculty
The Hostel experience is neither good nor bad. It saves a lot of time.,Neutral,Hostel
There are frequent issues related to Transport. I would recommend maintaining this standard.,Negative,Transport
The Placement facilities are average.,Neutral,Placement
The Hostel facilties are well maintained and useful.,Positive,Hostel
The Placement facilities are well maintained and useful.,Positive,Placement
The Canteen team is supportive and responsive.,Positive,Canteen
The Lab service is excellent and really helps students. The management should take note.,Positive,Lab
The Canteen facilities are well maintained and useful. The management should take note.,Positive,Canteen
The Hostel system is slow and causes inconvenience.,Negative,Hostel
The Hostel servise is okay but could be improved.,Neutral,Hostel
I have mixed opinions about the Classroom facilities. Please look into this issue soon.,Neutral,Classroom
The Classroom team is supportive and responsive. It saves a lot of time.,Positive,Classroom
The Library facilities need significant improvement.,Negative,Library
The WiFi experience is neither good nor bad. This has affected many students.,Neutral,WiFi
I am very satisfied with the Transport facilities provided by the college.,Positive,Transport
"Overall, the Library experience has been great this semester. This has affected many studnts.",Positive,Library
The Sports experience has been poor recently. Please look into this issue soon.,Negative,Sports
The Faculty servise is okay but could be improved.,Neutral,Faculty
The Faculty service is okay but could be improved.,Neutral,Faculty
There are frequent issues related to Placement.,Negative,Placement
I am very satisfied with the Lab facilities provided by the college. Please look into this issue soon.,Positive,Lab
The Transport experience is neither good nor bad. It saves a lot of time.,Neutral,Transport
I am disappointed with the quality of the WiFi service. I would recommend maintaining this standard.,Negative,WiFi
The WiFi facilities need significant improvement.,Negative,WiFi
The Classroom system is slow and causes inconvenience.,Negative,Classroom
The Faculty experience is neither good nor bad. The management should take note.,Neutral,Faculty
The Library system is slow and causes inconvenience.,Negative,Library
"Overall, the Classroom experience has been great this semester. I would recommend maintaining this standard.",Positive,Classroom
I am disappointed with the quality of the Faculty service.,Negative,Faculty
The WiFi system is slow and causes inconvenience. The management should take note.,Negative,WiFi
The WiFi system is slow and causes inconvenience. The management should take note.,Negative,WiFi
I am very satisfied with the Lab facilities provided by the college. It saves a lot of time.,Positive,Lab
There are frequent issues related to Classroom.,Negative,Classroom
The Hostel service is excellent and really helps students.,Positive,Hostel
The Placement service is okay but could be improved. This has affected many students.,Neutral,Placement
The Sports facilities are well maintained and useful. Please look into this issue soon.,Positive,Sports
The Lab facilities are average.,Neutral,Lab
The Placement facilities need significant improvement.,Negative,Placement
The Lab service is excellent and really helps students.,Positive,Lab
I am very satisfied with the Hostel facilities provided by the college. It saves a lot of time.,Positive,Hostel
The Library department is satisfactory.,Neutral,Library
The Lab system is slow and causes inconvenience. This has affected many students.,Negative,Lab
"Overall, the Canteen experience has been great this semester. Please look into this issue soon.",Positive,Canteen
The Canteen service is okay but could be improved. It saves a lot of time.,Neutral,Canteen
The Library department is satisfactory. I would recommend maintaining this standard.,Neutral,Library
The Faculty service is excellent and really helps students.,Positive,Faculty
The Hostel facilities need significant improvement.,Negative,Hostel
The Faculty facilities are well maintained and useful.,Positive,Faculty
The Lab experience has been poor recently.,Negative,Lab
The Canteen facilities are average. The management should take note.,Neutral,Canteen
The WiFi service is excelent and really helps students.,Positive,WiFi
The Library facilities need significant improvement.,Negative,Library
The Library team is supportive and responsive.,Positive,Library
The Sports facilities need significant improvement. It saves a lot of time.,Negative,Sports
The Lab facilities need significant improvement.,Negative,Lab
The Placement department is satisfactory. Please look into this issue soon.,Neutral,Placement
The Canteen system is slow and causes inconvenience.,Negative,Canteen
The Faculty experience has been poor recently.,Negative,Faculty
I am disappointed with the quality of the Faculty service.,Negative,Faculty
I am disappointed with the quality of the Faculty service.,Negative,Faculty
I have mixed opinions about the Classroom facilities.,Neutral,Classroom
The Faculty facilties are well maintained and useful. It saves a lot of time.,Positive,Faculty
The Sports experience has been poor recently. This has affected many students.,Negative,Sports
The Transport service is excellent and really helps students. It saves a lot of time.,Positive,Transport
I am disappointed with the quality of the Library servise.,Negative,Library
The Hostel facilities need significant improvement.,Negative,Hostel
The Lab department is satisfactory.,Neutral,Lab
The Library experience is neither good nor bad.,Neutral,Library
The Hostel facilities are well maintained and useful. It saves a lot of time.,Positive,Hostel
The Placement system is slow and causes inconvenience. Please look into this issue soon.,Negative,Placement
The Library facilities are well maintained and useful.,Positive,Library
"Overall, the WiFi experience has been great this semester.",Positive,WiFi
The Canteen experience is neither good nor bad. Please look into this issue soon.,Neutral,Canteen
The WiFi experiance has been poor recently.,Negative,WiFi
There are frequent issues related to Sports. The management should take note.,Negative,Sports
"Overall, the Hostel experiance has been great this semester.",Positive,Hostel
The WiFi system is slow and causes inconvenience. It saves a lot of time.,Negative,WiFi
I am very satisfied with the Faculty facilities provided by the college. This has affected many students.,Positive,Faculty
The Transport service is excellent and really helps students.,Positive,Transport
The Placement service is excellent and really helps students.,Positive,Placement
I am very satisfied with the Lab facilities provided by the college.,Positive,Lab
The Placement service is okay but could be improved. This has affected many students.,Neutral,Placement
The Canteen team is supportive and responsive.,Positive,Canteen
The Hostel team is supportive and responsive.,Positive,Hostel
I have mixed opinions about the Library facilities.,Neutral,Library
I am very satisfied with the WiFi facilities provided by the college. Please look into this issue soon.,Positive,WiFi
I have mixed opinions about the Canteen facilities.,Neutral,Canteen
The Canteen facilities are well maintained and useful. This has affected many students.,Positive,Canteen
The Hostel department is satisfactory.,Neutral,Hostel
The Lab experience has been poor recently.,Negative,Lab
There are frequent issues related to WiFi.,Negative,WiFi
The WiFi facilities need significant improvement.,Negative,WiFi
The Faculty experience has been poor recently. The management should take note.,Negative,Faculty
The WiFi facilities are average.,Neutral,WiFi
The Canteen experience is neither good nor bad.,Neutral,Canteen
"Overall, the Faculty experiance has been great this semester. I would recommend maintaining this standard.",Positive,Faculty
I have mixed opinions about the Faculty facilities. The management should take note.,Neutral,Faculty
The Library experience has been poor recently. Please look into this issue soon.,Negative,Library
I am disappointed with the quality of the Sports service. Please look into this issue soon.,Negative,Sports
The Hostel service is excellent and really helps students.,Positive,Hostel
The Canteen system is slow and causes inconvenience.,Negative,Canteen
The Transport experience has been poor recently.,Negative,Transport
The Transport experiance is neither good nor bad. I would recommend maintaining this standard.,Neutral,Transport
"Overall, the Transport experiance has been great this semester. Please look into this issue soon.",Positive,Transport
